Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
  0.00      0.24     0.00   380776     0.00     0.00  std::__debug::vector<Tree, std::allocator<Tree> >::_M_base()
  0.00      0.24     0.00   380776     0.00     0.00  std::__debug::vector<Tree, std::allocator<Tree> >::operator[](unsigned long)
  0.00      0.24     0.00   380776     0.00     0.00  std::__cxx1998::vector<Tree, std::allocator<Tree> >::operator[](unsigned long)
  0.00      0.24     0.00   363311     0.00     0.00  __gnu_debug::_Safe_sequence_base::_M_invalidate_all() const
  0.00      0.24     0.00   333125     0.00     0.00  __gnu_debug::_Safe_vector<std::__debug::vector<std::pair<long long, long long>, std::allocator<std::pair<long long, long long> > >, std::__cxx1998::vector<std::pair<long long, long long>, std::allocator<std::pair<long long, long long> > > >::_M_seq() const
  0.00      0.24     0.00   295046     0.00     0.00  std::move_iterator<std::pair<long long, long long>*>::base() const
  0.00      0.24     0.00   285584     0.00     0.00  __gnu_debug::_Safe_sequence<std::__debug::vector<Tree, std::allocator<Tree> > >::_Safe_sequence()
  0.00      0.24     0.00   285584     0.00     0.00  __gnu_debug::_Safe_container<std::__debug::vector<Tree, std::allocator<Tree> >, std::allocator<Tree>, __gnu_debug::_Safe_sequence, true>::_Safe_container()
  0.00      0.24     0.00   285584     0.00     0.00  __gnu_cxx::new_allocator<Tree>::new_allocator()
  0.00      0.24     0.00   285584     0.00     0.00  std::allocator<Tree>::allocator()
  0.00      0.24     0.00   285258     0.00     0.00  __gnu_cxx::new_allocator<long long>::~new_allocator()
  0.00      0.24     0.00   285258     0.00     0.00  std::allocator<long long>::~allocator()
  0.00      0.24     0.00   285258     0.00     0.00  std::__cxx1998::_Vector_base<long long, std::allocator<long long> >::_M_get_Tp_allocator()
  0.00      0.24     0.00   268117     0.00     0.00  std::__cxx1998::_Vector_base<int, std::allocator<int> >::_M_get_Tp_allocator()
  0.00      0.24     0.00   259383     0.00     0.00  __gnu_cxx::new_allocator<std::pair<long long, long long> >::max_size() const
  0.00      0.24     0.00   259383     0.00     0.00  std::_Niter_base<int*>::iterator_type std::__niter_base<int*>(int*)
  0.00      0.24     0.00   238045     0.00     0.00  std::__debug::vector<std::pair<long long, long long>, std::allocator<std::pair<long long, long long> > >::operator[](unsigned long)
  0.00      0.24     0.00   238045     0.00     0.00  std::__cxx1998::vector<std::pair<long long, long long>, std::allocator<std::pair<long long, long long> > >::operator[](unsigned long)
  0.00      0.24     0.00   220465     0.00     0.00  std::__cxx1998::_Vector_base<std::pair<long long, long long>, std::allocator<std::pair<long long, long long> > >::_M_get_Tp_allocator()
  0.00      0.24     0.00   190391     0.00     0.00  std::__cxx1998::_Bit_iterator::_Bit_iterator(unsigned long*, unsigned int)
  0.00      0.24     0.00   190390     0.00     0.00  std::__cxx1998::_Bit_iterator::operator*() const
  0.00      0.24     0.00   190390     0.00     0.00  std::__cxx1998::vector<bool, std::allocator<bool> >::end() const
  0.00      0.24     0.00   190390     0.00     0.00  std::__cxx1998::vector<bool, std::allocator<bool> >::size() const
  0.00      0.24     0.00   190390     0.00     0.00  std::__cxx1998::vector<bool, std::allocator<bool> >::begin() const
