Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
  0.61      0.82     0.01  6799727     0.00     0.00  __gnu_cxx::__normal_iterator<int*, std::__cxx1998::vector<int, std::allocator<int> > >::operator*() const
  0.61      0.82     0.01        1     5.00     5.00  __gnu_cxx::__ops::_Iter_comp_iter<main::{lambda(main::Query, main::Query)#2}>::_Iter_comp_iter({lambda(main::Query, main::Query)#2})
  0.00      0.82     0.00 20665016     0.00     0.00  __gnu_cxx::__normal_iterator<int*, std::__cxx1998::vector<int, std::allocator<int> > >::base() const
  0.00      0.82     0.00 13120548     0.00     0.00  __gnu_debug::_Safe_iterator_base::~_Safe_iterator_base()
  0.00      0.82     0.00 12968730     0.00     0.00  __gthread_active_p()
  0.00      0.82     0.00  9855054     0.00     0.00  std::__debug::vector<int, std::allocator<int> >::_M_base()
  0.00      0.82     0.00  9631480     0.00     0.00  __gnu_cxx::__normal_iterator<int*, std::__cxx1998::vector<int, std::allocator<int> > >::__normal_iterator(int* const&)
  0.00      0.82     0.00  9576342     0.00     0.00  __gnu_debug::_Safe_iterator<__gnu_cxx::__normal_iterator<main::Query*, std::__cxx1998::vector<main::Query, std::allocator<main::Query> > >, std::__debug::vector<main::Query, std::allocator<main::Query> > >::_M_get_sequence() const
  0.00      0.82     0.00  8113585     0.00     0.00  __gnu_debug::_Safe_iterator<__gnu_cxx::__normal_iterator<int*, std::__cxx1998::vector<int, std::allocator<int> > >, std::__debug::vector<int, std::allocator<int> > >::_M_is_end() const
  0.00      0.82     0.00  7185864     0.00     0.00  __gnu_cxx::__normal_iterator<main::Query*, std::__cxx1998::vector<main::Query, std::allocator<main::Query> > >::operator*() const
